id,store_name,contact_person,contact_number,address,area,landmark,city,state,country,pincode,google_location_url,latitude,longitude,status,notes,created_at
45,Kusunti Hygenic Khadya Store,,"9843470000, 9841303202","Lalitpur 13, Kusunti",Kusunti,,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/EppZJw9HuTT6cK8e8,,,prospect,,2026-04-15 09:27:16
46,Gamro Dairy and Kirana Pasal,,9849062058,"Lalitpur 13, Kusunti",Kusunti,,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/m3ZPFePQ7TJYggzy6,,,prospect,,2026-04-15 09:27:16
47,Kripa Laxmi Store,Krishna,9869799847,"Lalitpur 13, Kusunti",Kusunti,,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/hR3XaT5SgWxbvKs4A,,,prospect,,2026-04-15 09:27:16
48,Shree Sai Kirana Store,,9829074535,"Lalitpur 13, Kusunti",Kusunti,,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/nN4sFy2GQdDPUgqf9,,,prospect,,2026-04-15 09:27:16
49,Subba Store,,9860695289,"Lalitpur 13, Ranibu Chok",Ranibu Chok,,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/V96Y6TzSZoT77jp16,,,prospect,,2026-04-15 09:27:16
50,Sabina Store,Sabina Store,9869749103,"Lalitpur 3, Dhobighat",Dhobighat,,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/zRtVuGSSXzNHnFat7,,,prospect,,2026-04-15 09:27:16
51,Kirana Pasal,Gopi Maharjan,9849709017,"Lalitpur 3, Dhobighat",Dhobighat,,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/V5g9uW86tZLrF4CD7,,,prospect,,2026-04-15 09:27:16
52,Nisha Dudh Dahi Pasal,,"9864003847, 9807852402","Lalitpur 3, Dhobighat",Dhobighat,,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/9yPrmtvwafssVVcQ7,,,prospect,,2026-04-15 09:27:16
53,Krishna Store,Krishna,9803143462,"Lalitpur 3, Dhobighat",Dhobighat,,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/jTVxwwBdLGYR7N8C9,,,prospect,,2026-04-15 09:27:16
54,B.G Maharjan,,"9851176658, 01-5184368","Lalitpur 3, Dhobighat, Naya Bato",Dhobighat,Naya Bato,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/FYwom9115gfKpDQs5,,,prospect,,2026-04-15 09:27:16
55,Buddha Laxmi,Phurba,9810192694,"Lalitpur 3, Dhobighat, Shanti Basti",Dhobighat,Shanti Basti,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/ZNUxELqAtMqs7K5S6,,,prospect,,2026-04-15 09:27:16
56,Wholesale Suppliers,Tej Prasad Sharma,9818224809,"Lalitpur 2, Sanepa",Sanepa,,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/RKdFsyvKuP5schRr8,,,prospect,,2026-04-15 09:27:16
57,Patanjali Store,,9803641595,"Lalitpur 13, Kusunti",Kusunti,,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/LacMHbuoU518j9tHA,,,prospect,,2026-04-15 09:27:16
58,Parajuli Store,,01-5916181,"Lalitpur 13, Kusunti",Kusunti,,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/cyMiFEMm5Htajgg58,,,prospect,,2026-04-15 09:27:16
59,Masala Pasal,,9841025206,"Lalitpur 13, Kusunti",Kusunti,,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/6QnEhJftWeb2zC2NA,,,prospect,,2026-04-15 09:27:16
60,Raini Kirana Pasal,Sangita Rai,9813049905,"Lalitpur 3, Kusunti",Kusunti,,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/VPiz1vBktNtGUfhy9,,,prospect,,2026-04-15 09:27:16
61,Kc Store,,,"Lalitpur 13, Kusunti",Kusunti,,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/VqoZMeFwzDPfAYHJ7,,,prospect,,2026-04-15 09:27:16
62,Pasal,,,"Lalitpur 13, Kusunti",Kusunti,,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/5V9nBa44fXh3mcfS8,,,prospect,,2026-04-15 09:27:16
63,Samjhana Kirana,Krishna Tamang,9843021146,"Lalitpur 13, Kusunti",Kusunti,,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/rVCp5ZBkmQxwMXB59,,,prospect,,2026-04-15 09:27:16
64,Shree R R Khadhyana Store,,"9851156371, 01-5592365","Lalitpur 13, Nakhu",Nakhu,,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/u6K6hug1YrkoD2zc8,,,prospect,,2026-04-15 09:27:16
65,Surya Store,,01-5590245,"Lalitpur 3, Nakhu",Nakhu,,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/bA5Jb6s3koaKPMM38,,,prospect,,2026-04-15 09:27:16
66,Karyabinayak Dairy,,"9861616040, 9764576535","Lalitpur 13, Nakhu",Nakhu,,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/jkiVuK33Z7HteFR57,,,prospect,,2026-04-15 09:27:16
67,Anuska Kirana Pasal,Kamal,9841788998,"Lalitpur 25, Safal Marg",Safal Marg,,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/WpRsrtxc2ZxMbh1r5,,,prospect,,2026-04-15 09:27:16
68,Bomjan Cold Store,Pragesh,9865095812,"Lalitpur 25, Fulbari Marga",Fulbari Marga,,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/yaEY3pvmKqf6n2dX9,,,prospect,,2026-04-15 09:27:16
69,Gautam Store,Safal Gautam,9847336606,"Lalitpur 25, Fulbari Marga",Fulbari Marga,,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/Ujci9cddkgpS2xKq6,,,prospect,,2026-04-15 09:27:16
70,Pasal,,,"Lalitpur 25, Fulbari Marga",Fulbari Marga,,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/KS5s7AAE79myRFsv5,,,prospect,,2026-04-15 09:27:16
71,Kirana Pasal,,9803268419,"Lalitpur 25, Fulbari Marga",Fulbari Marga,,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/8UNPyHtSyXRrnnV96,,,prospect,,2026-04-15 09:27:16
72,Wholesale Shop,Ujjal,9765349887,"Lalitpur 25, Fulbari Marga",Fulbari Marga,,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/WHtjYur9TthwT6Eb6,,,prospect,,2026-04-15 09:27:16
73,Ranibu Traders,,9841547949,"Lalitpur 13, Ranibu",Ranibu,,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/3zN94xvc7FALtRsW7,,,prospect,,2026-04-15 09:27:16
74,Chandra Surya Store,Mukunda Lungeli,9812010929,"Lalitpur 14, Ranibu",Ranibu,,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/FMsPg7NAiezrDNBy9,,,prospect,,2026-04-15 09:27:16
75,Shuvam Mart,,01-5440892,"Lalitpur 25, Fulbaru Marg, Bhaisepati",Fulbaru Marg,Bhaisepati,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/wdjE9ZGuUXVUXDS88,,,prospect,,2026-04-15 09:27:16
76,Tulasi Masala Mill,,9861118256,"Lalitpur 25, Sayapatri Marga",Sayapatri Marga,,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/PaAQipBHzRnWpPYu9,,,prospect,,2026-04-15 09:27:16
77,Pasal,,,"Lalitpur 25, Shreekul School, Sayapatri Tole",Shreekul School,Sayapatri Tole,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/iSKjtum74pdoYW8B7,,,prospect,,2026-04-15 09:27:16
78,Mahankal Enterprises,Nishant,9851091383,"Lalitpur 25, Bhaisepati",Bhaisepati,,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/ozoWGjjRB5MfasNS9,,,prospect,,2026-04-15 09:27:16
79,Melamchi Spices,Ramraja Basnet,9808629094,"Lalitpur 25, Bhaisepati",Bhaisepati,,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/LXUYMhbHVcAjHZQC9,,,prospect,,2026-04-15 09:27:16
80,Manohari Store,,9841467787,"Lalitpur 25, Bhaisepati Chok",Bhaisepati Chok,,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/UzsJkiB7TTjVp3fe9,,,prospect,,2026-04-15 09:27:16
81,Gupta Pan Pasal,Santosh Gupta,9767925162,"Lalitpur 25, Bhaisepati",Bhaisepati,,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/KcSvDGWHMzUi9fHj6,,,prospect,,2026-04-15 09:27:16
82,New Dahal Store,,"9841416866, 9849497886","Lalitpur 25, Bhaisepati",Bhaisepati,,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/HSGoZpt2Pv1eyFM5A,,,prospect,,2026-04-15 09:27:16
83,A. M. Store,,9841412205,"Lalitpur 25, Bhaisepati",Bhaisepati,,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/XTvXXkitvum1yRJS8,,,prospect,,2026-04-15 09:27:16
84,Prajuna Dairy tatha Khadya Store,,9866266940,"Lalitpur 25, Naya Bazar Saibu",Naya Bazar Saibu,,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/7qAB2KUKvdMfgrUu6,,,prospect,,2026-04-15 09:27:16
85,Aayusha Store,Aayusha,9841434098,"Lalitpur 25, Bhaisepati",Bhaisepati,,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/W9UdxR9ixS699R4K8,,,prospect,,2026-04-15 09:27:16
86,Genius Store,,9866266920,"Lalitpur 25, Bhaisepati",Bhaisepati,,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/KonvSQZJkvJoHxkQ8,,,prospect,,2026-04-15 09:27:16
87,New Sagar Store,Prem,9765340501,"Lalitpur 25, Bhaisepati",Bhaisepati,,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/CspHLpHvboxDqwmL7,,,prospect,,2026-04-15 09:27:16
88,Munaa Bazar,Bhaisepati Branch,9801815610,"Lalitpur 25, Bhaisepati",Bhaisepati,,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/5BnQnpBnmDt3Hk8c7,,,prospect,,2026-04-15 09:27:16
89,Aama Organic Tarkari tatha Dry Fruits C,Sanjib Tamang,9742549178,"Lalitpur 18, Bhaisepati, Saibu",Bhaisepati,Saibu,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/VidWsP4QZsdKpcsm9,,,prospect,,2026-04-15 09:27:16
90,Budhathoki Store,Dipak Budhathoki,"9841169100, 9818057774","Lalitpur 18, Khadka Gau",Khadka Gau,,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/6Sx2NSaXwsMfBmAc6,,,prospect,,2026-04-15 09:27:16
91,Wonjal Khadya Store,,9841699548,"Lalitpur 25, Bhaisepati",Bhaisepati,,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/kkNqaeZhwqPyXrTV9,,,prospect,,2026-04-15 09:27:16
92,Metro Market,"Head Office, Dallu",9801268304,"Lalitpur 25, Bhaisepati",Bhaisepati,,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/zuoWRxis5EYGpPhJA,,,prospect,,2026-04-15 09:27:16
93,Anu and Chandra Store,,9803100630,"Lalitpur 25, Bhaisepati",Bhaisepati,,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/pNAf1Q7rCRxAHbkx8,,,prospect,,2026-04-15 09:27:16
94,Saibu Khadya Bhandar,Rajesh,9849605544,"Lalitpur 25, Bhaisepati",Bhaisepati,,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/jt2Vd5eETVfEunb79,,,prospect,,2026-04-15 09:27:16
95,Amar Mithai Pasal,,"9841253145, 9841160309","Lalitpur 13, Nakhhu",Nakhhu,,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/oaA29cF4oP3MEuyG7,,,prospect,,2026-04-15 09:27:16
96,Shridi Sai Store,Prince Gupta,9813513187,"Lalitpur 18, Nakhhu",Nakhhu,,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/9tZ8oLYDG11M88b36,,,prospect,,2026-04-15 09:27:16
97,Shrestha Khadhyanna Store,Ritu Shrestha,9862970244,"Lalitpur 18, Nakhhu",Nakhhu,,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/Qq1ZuFwhqeSJ1UHk6,,,prospect,,2026-04-15 09:27:16
98,Prashamsa Store,,9841261088,"Lalitpur 18, Nakhhu",Nakhhu,,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/aLRHKGU5d1ThERbM8,,,prospect,,2026-04-15 09:27:16
99,Kirana Pasal,Raju Uraw,9706011130,"Lalitpur 18, Shrijana Tole",Shrijana Tole,,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/4zmZZTEGJ1DyH3Au8,,,prospect,,2026-04-15 09:27:16
100,Rejina Kirana,Ganesh Katuwal,9843203408,"Lalitpur 18, Nakhu Milan Basti",Nakhu Milan Basti,,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/k3k4gK37Vu1sKACFA,,,prospect,,2026-04-15 09:27:16
101,U.D. Minimart,,"9849726676, 9841221830","Lalitpur 18, Milanbasti Shaibu",Milanbasti Shaibu,,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/WGtrDaTX8Hn97VGy6,,,prospect,,2026-04-15 09:27:16
102,Krishna Store,Krishna Ghimire,9867748098,"Lalitpur 18, Shaibu",Shaibu,,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/QXtejZkKHUKbRPx48,,,prospect,,2026-04-15 09:27:16
103,Gurung Store,Tech Bahadur Gurung,9800767144,"Lalitpur 18, Nakhhu",Nakhhu,,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/t7Z3Z3SW7PkxozW48,,,prospect,,2026-04-15 09:27:16
104,Champa Devi Khadya Store,Sharan Shrestha,9851081928,"Lalitpur 18, Shaibu",Shaibu,,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/DRhNbB8Dd9mmTejr7,,,prospect,,2026-04-15 09:27:16
105,Hamro Dailekhi Kirana Pasal,Bidhya Pokhrel,9851194232,"Lalitpur 18, Shaibu",Shaibu,,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/byFAycPZ4T4jvJpbA,,,prospect,,2026-04-15 09:27:16
106,Sandipa Kirana Store,Sujan,"9860581728, 9823352980","Lalitpur 18, Shaibu",Shaibu,,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/NHWqzACc1rAoMMidA,,,prospect,,2026-04-15 09:27:16
107,Brakhar Chambra Dairy,,9806130666,"Lalitpur 18, Saibu, Bhaisepati",Saibu,Bhaisepati,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/6AD3zqCTEqmhvTaT7,,,prospect,,2026-04-15 09:27:16
108,Manish Store,,9860783200,"Lalitpur 18, Nakhhu",Nakhhu,,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/AYpSKGg86LkK8Qhq5,,,prospect,,2026-04-15 09:27:16
109,Himangi Trading Company,Ranjan Shah,9851297786,"Lalitpur 18, Nakhu",Nakhu,,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/bii7rYJ39BoiZXWF9,,,prospect,,2026-04-15 09:27:16
110,Maharjan Store,Bijan Maharjan,9841741208,"Lalitpur 18, Nakhu",Nakhu,,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/wzdCE8NUixUV4qFt7,,,prospect,,2026-04-15 09:27:16
111,Jaimasi Store,,9843324156,"Lalitpur 18, Nakhu, Saibu",Nakhu,Saibu,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/SuvyxD5ErBuwYXycA,,,prospect,,2026-04-15 09:27:16
112,Sangam Mart,Ramesh Basnet,9851049866,"Lalitpur 18, Nakhu",Nakhu,,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/ZBMBTNKi9B5F8UUx7,,,prospect,,2026-04-15 09:27:16
113,Pasal,Man Kumari Shrestha,,"Lalitpur 18, Nakhu",Nakhu,,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/WdwMUF6tEwBNuEwN9,,,prospect,,2026-04-15 09:27:16
114,Balkumari Khadyanna Pasal,Keshab Paudel,9851352107,"Lalitpur 18, Saibu",Saibu,,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/14yRzqP6tS7THBoHA,,,prospect,,2026-04-15 09:27:16
115,Masala Pasal,Tika Prasad Nepal,9843256794,"Lalitpur 18, Saibu",Saibu,,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/4sJdwKuEKt6cZmZE6,,,prospect,,2026-04-15 09:27:16
116,The Best Mart,Ram Thapa,9861759779,"Lalitpur 18, Thapa Gau, Bhaisepati",Thapa Gau,Bhaisepati,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/eK2FmmjgxUdVnvut9,,,prospect,,2026-04-15 09:27:16
117,Kavreli Dudh Bhandar,,"9841950352, 9841484903","Lalitpur 18, Bhaisepati",Bhaisepati,,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/Yu2tuQEjxXPo4BAK8,,,prospect,,2026-04-15 09:27:16
118,Manahari Store,Manahari,"9841467787, 9849594877","Lalitpur 18, Bhaisepati",Bhaisepati,,Lalitpur,Bagmati,Nepal,,https://maps.app.goo.gl/VwviJNEQzrrS5m4L9,,,prospect,,2026-04-15 09:27:16
